,0GtC,,,1280GtC,,,2560GtC,,,3840GtC,,,5120GtC,,
Year (AD),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm),SAT (°C),Emissions (GtC/yr),pCO2 (ppm)
1826.5,13.146,0.517,282.034,13.146,0.517,282.034,13.146,0.517,282.034,13.150,0.517,281.989,13.146,0.517,282.034
1827.5,13.165,0.518,282.531,13.165,0.518,282.531,13.165,0.518,282.531,13.171,0.518,282.497,13.165,0.518,282.531
1828.5,13.182,0.518,283.002,13.182,0.518,283.002,13.182,0.518,283.002,13.194,0.518,282.982,13.182,0.518,283.002
1829.5,13.199,0.519,283.445,13.199,0.519,283.445,13.199,0.519,283.445,13.209,0.519,283.441,13.199,0.519,283.445
1830.5,13.211,0.523,283.859,13.211,0.523,283.859,13.211,0.523,283.859,13.226,0.523,283.871,13.211,0.523,283.859
1831.5,13.216,0.523,284.231,13.216,0.523,284.231,13.216,0.523,284.231,13.232,0.523,284.265,13.216,0.523,284.231
1832.5,13.093,0.523,284.296,13.093,0.523,284.296,13.093,0.523,284.296,13.111,0.523,284.353,13.093,0.523,284.296
1833.5,13.058,0.524,283.936,13.058,0.524,283.936,13.058,0.524,283.936,13.076,0.524,284.019,13.058,0.524,283.936
1834.5,13.095,0.524,283.812,13.095,0.524,283.812,13.095,0.524,283.812,13.111,0.524,283.914,13.095,0.524,283.812
1835.5,13.023,0.525,283.749,13.023,0.525,283.749,13.023,0.525,283.749,13.034,0.525,283.866,13.023,0.525,283.749
1836.5,12.911,0.528,283.155,12.911,0.528,283.155,12.911,0.528,283.155,12.921,0.528,283.276,12.911,0.528,283.155
1837.5,12.964,0.529,282.743,12.964,0.529,282.743,12.964,0.529,282.743,12.976,0.529,282.861,12.964,0.529,282.743
1838.5,13.028,0.530,282.759,13.028,0.530,282.759,13.028,0.530,282.759,13.041,0.530,282.874,13.028,0.530,282.759
1839.5,13.077,0.531,283.012,13.077,0.531,283.012,13.077,0.531,283.012,13.092,0.531,283.128,13.077,0.531,283.012
1840.5,13.111,0.533,283.367,13.111,0.533,283.367,13.111,0.533,283.367,13.126,0.533,283.484,13.111,0.533,283.367
1841.5,13.141,0.534,283.744,13.141,0.534,283.744,13.141,0.534,283.744,13.155,0.534,283.865,13.141,0.534,283.744
1842.5,13.164,0.536,284.125,13.164,0.536,284.125,13.164,0.536,284.125,13.177,0.536,284.254,13.164,0.536,284.125
1843.5,13.176,0.537,284.482,13.176,0.537,284.482,13.176,0.537,284.482,13.189,0.537,284.619,13.176,0.537,284.482
1844.5,13.196,0.539,284.807,13.196,0.539,284.807,13.196,0.539,284.807,13.204,0.539,284.950,13.196,0.539,284.807
1845.5,13.217,0.542,285.138,13.217,0.542,285.138,13.217,0.542,285.138,13.220,0.542,285.282,13.217,0.542,285.138
1846.5,13.228,0.543,285.458,13.228,0.543,285.458,13.228,0.543,285.458,13.231,0.543,285.597,13.228,0.543,285.458
1847.5,13.242,0.546,285.754,13.242,0.546,285.754,13.242,0.546,285.754,13.245,0.546,285.887,13.242,0.546,285.754
1848.5,13.262,0.547,286.071,13.262,0.547,286.071,13.262,0.547,286.071,13.264,0.547,286.198,13.262,0.547,286.071
1849.5,13.277,0.550,286.392,13.277,0.550,286.392,13.277,0.550,286.392,13.282,0.550,286.515,13.277,0.550,286.392
1850.5,13.286,0.555,286.702,13.286,0.555,286.702,13.286,0.555,286.702,13.292,0.555,286.821,13.286,0.555,286.702
1851.5,13.291,0.557,286.977,13.291,0.557,286.977,13.291,0.557,286.977,13.301,0.557,287.094,13.291,0.557,286.977
1852.5,13.293,0.600,287.238,13.293,0.600,287.238,13.293,0.600,287.238,13.306,0.600,287.357,13.293,0.600,287.238
1853.5,13.296,0.608,287.477,13.296,0.608,287.477,13.296,0.608,287.477,13.314,0.608,287.601,13.296,0.608,287.477
1854.5,13.288,0.614,287.666,13.288,0.614,287.666,13.288,0.614,287.666,13.306,0.614,287.799,13.288,0.614,287.666
1855.5,13.282,0.616,287.774,13.282,0.616,287.774,13.282,0.616,287.774,13.312,0.616,287.919,13.282,0.616,287.774
1856.5,13.286,0.624,287.905,13.286,0.624,287.905,13.286,0.624,287.905,13.318,0.624,288.066,13.286,0.624,287.905
1857.5,13.292,0.631,288.051,13.292,0.631,288.051,13.292,0.631,288.051,13.327,0.631,288.230,13.292,0.631,288.051
1858.5,13.301,0.637,288.214,13.301,0.637,288.214,13.301,0.637,288.214,13.336,0.637,288.413,13.301,0.637,288.214
1859.5,13.313,0.647,288.395,13.313,0.647,288.395,13.313,0.647,288.395,13.347,0.647,288.614,13.313,0.647,288.395
1860.5,13.320,0.660,288.592,13.320,0.660,288.592,13.320,0.660,288.592,13.349,0.660,288.825,13.320,0.660,288.592
1861.5,13.330,0.667,288.781,13.330,0.667,288.781,13.330,0.667,288.781,13.353,0.667,289.021,13.330,0.667,288.781
1862.5,13.265,0.627,288.836,13.265,0.627,288.836,13.265,0.627,288.836,13.288,0.627,289.078,13.265,0.627,288.836
1863.5,13.231,0.626,288.578,13.231,0.626,288.578,13.231,0.626,288.578,13.249,0.626,288.816,13.231,0.626,288.578
1864.5,13.250,0.634,288.456,13.250,0.634,288.456,13.250,0.634,288.456,13.266,0.634,288.688,13.250,0.634,288.456
1865.5,13.270,0.641,288.488,13.270,0.641,288.488,13.270,0.641,288.488,13.284,0.641,288.710,13.270,0.641,288.488
1866.5,13.285,0.645,288.593,13.285,0.645,288.593,13.285,0.645,288.593,13.298,0.645,288.807,13.285,0.645,288.593
1867.5,13.300,0.650,288.733,13.300,0.650,288.733,13.300,0.650,288.733,13.307,0.650,288.937,13.300,0.650,288.733
1868.5,13.310,0.654,288.892,13.310,0.654,288.892,13.310,0.654,288.892,13.320,0.654,289.085,13.310,0.654,288.892
1869.5,13.325,0.658,289.076,13.325,0.658,289.076,13.325,0.658,289.076,13.335,0.658,289.257,13.325,0.658,289.076
1870.5,13.341,0.665,289.289,13.341,0.665,289.289,13.341,0.665,289.289,13.349,0.665,289.458,13.341,0.665,289.289
1871.5,13.356,0.700,289.530,13.356,0.700,289.530,13.356,0.700,289.530,13.360,0.700,289.684,13.356,0.700,289.530
1872.5,13.366,0.783,289.794,13.366,0.783,289.794,13.366,0.783,289.794,13.365,0.783,289.929,13.366,0.783,289.794
1873.5,13.360,0.811,290.034,13.360,0.811,290.034,13.360,0.811,290.034,13.353,0.811,290.147,13.360,0.811,290.034
1874.5,13.365,0.813,290.220,13.365,0.813,290.220,13.365,0.813,290.220,13.356,0.813,290.313,13.365,0.813,290.220
1875.5,13.356,0.829,290.395,13.356,0.829,290.395,13.356,0.829,290.395,13.347,0.829,290.465,13.356,0.829,290.395
1876.5,13.357,0.840,290.524,13.357,0.840,290.524,13.357,0.840,290.524,13.345,0.840,290.573,13.357,0.840,290.524
1877.5,13.363,0.848,290.685,13.363,0.848,290.685,13.363,0.848,290.685,13.354,0.848,290.713,13.363,0.848,290.685
1878.5,13.369,0.857,290.859,13.369,0.857,290.859,13.369,0.857,290.859,13.362,0.857,290.869,13.369,0.857,290.859
1879.5,13.377,0.877,291.042,13.377,0.877,291.042,13.377,0.877,291.042,13.366,0.877,291.038,13.377,0.877,291.042
1880.5,13.383,0.908,291.236,13.383,0.908,291.236,13.383,0.908,291.236,13.369,0.908,291.217,13.383,0.908,291.236
1881.5,13.391,0.938,291.455,13.391,0.938,291.455,13.391,0.938,291.455,13.377,0.938,291.421,13.391,0.938,291.455
1882.5,13.394,0.920,291.681,13.394,0.920,291.681,13.394,0.920,291.681,13.390,0.920,291.633,13.394,0.920,291.681
1883.5,13.385,0.930,291.895,13.385,0.930,291.895,13.385,0.930,291.895,13.389,0.930,291.843,13.385,0.930,291.895
1884.5,13.195,0.936,291.683,13.195,0.936,291.683,13.195,0.936,291.683,13.204,0.936,291.633,13.195,0.936,291.683
1885.5,13.143,0.940,290.931,13.143,0.940,290.931,13.143,0.940,290.931,13.157,0.940,290.892,13.143,0.940,290.931
1886.5,13.154,0.945,290.482,13.154,0.945,290.482,13.154,0.945,290.482,13.171,0.945,290.459,13.154,0.945,290.482
1887.5,13.188,0.959,290.298,13.188,0.959,290.298,13.188,0.959,290.298,13.207,0.959,290.296,13.188,0.959,290.298
1888.5,13.228,0.983,290.376,13.228,0.983,290.376,13.228,0.983,290.376,13.246,0.983,290.395,13.228,0.983,290.376
1889.5,13.258,0.989,290.598,13.258,0.989,290.598,13.258,0.989,290.598,13.281,0.989,290.641,13.258,0.989,290.598
1890.5,13.274,1.011,290.868,13.274,1.011,290.868,13.274,1.011,290.868,13.296,1.011,290.931,13.274,1.011,290.868
